gas algorithm Recent, algorithm Recent theoretical, fluid dynamic problem, recent theoretical result, quantum lattice gas, solve fluid dynamic, lattice gas algorithm, Recent theoretical, theoretical result suggest, quantum information processor, information processor communicate, lattice gas, communicate via classical, classical channel, fluid dynamic
general constitutive description, constitutive, general constitutive, behavior of fibrous, fibrous laminate, fiber, Laminate, matrix, theory, constituent fiber, lamina theory, matrix material, matrix composite laminate, analysis, reinforce
parameter uncertainty study, constrain mobile manipulator, mobile manipulator subject, force track control, track control problem, unknown inertia parameter, uncertainty study, control of constrained, control problem, constrain mobile, problem of mobile, inertia parameter, force track, subject to holonomic, holonomic and nonholonomic
output feedback stabilization, linear time - invarye large - scale, adaptive output feedback, time - invarye large - scale system, class of interconnect, class of linear, output feedback, linear time - invarye, nonlinear interconnectivity, adaptive decentralized stabilization, stabilization, class, decentralize adaptive output, adaptive decentralize, system
spatial resolution, author evaluate magnetic, spectral and spatial, high spectral, evaluate magnetic resonance, preliminary experience, healthy volunteer, suspicious lesion, experience the author, author evaluate, evaluate magnetic, woman with suspicious, hssr datum compare, image with high, resolution
column generation algorithm, combine constraint programming, linear programming, constraint programming, programming, programming and linear, column generation, combine constraint, linear, constraint, bus driver scheduling, technology, successful application, bus driver, combine
stream Recently, Recently much attention, ip - base network, resilient intra refresh, Error resilient intra, Internet video streaming, intra refresh scheme, intra macro - block refresh, Recently, refresh scheme, video streaming, intra refresh, Internet video, macro - block refresh scheme, intra
set of objective, therapy decision task, decision task, heuristic multi - attribute, generic decision model, Knowledge model reuse, decision, kad - style specification, present the definition, therapy, task, solve method, decision model, decision method, Heuristic
retard functional differential, shadow result, exact solution, functional differential equation, numerical, shadow, retarded functional, compare exact solution, differential equation, result, functional, differential, exact, solution, numerical approximation
organizational process model, specialization, Process, Process specialization, model, object model, process model, object, define specialization, state diagram, approach, state, inheritance promise, diagram, precise definition
industrial age coincide, modern man conceive, man conceive work, social environment, economic organization, industrial age, age coincide, bring about significant, emerge information society, information society, modern man, information reversal, theory of reversal, social and economic, information
