gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
model-reference adaptive control, Fractional Order Calculus, adaptive control, fractional order reference, fractional order, Order Calculus, order reference models, fractional order adjustment, conventional Model Reference, order adjustment rules, Reference Adaptive, order reference, order parameter adjustment, fractional, paper investigates
deterministic server vacations, constant duration, Poisson arrivals, single server vacation, deterministic server, study a single, designate this model, server vacation queue, deterministic, single server, queue with Poisson, constant, Poisson, duration, server
maximise energy efficiency, Cool and green, global warming, air conditioning engineers, days of global, energy efficiency, air conditioning, Julian Brunnock outlines, maximise energy, Julian Brunnock, efficient air conditioning, air, Cool, green, warming
GKN Sinter Metals, parts GKN Sinter, perfect parts GKN, GKN Sinter, powder metal lines, parts GKN, metal lines, increased productivity, productivity and quality, quality by automating, lines that produce, produce its transmission, powder metal, transmission parts, Metals has increased
metallic specimens exposed, piezoceramic wafer elements, surface-mounted piezotransducer elements, health monitoring system, Autonomous detection, situ health monitoring, small surface-mounted piezotransducer, comprising an array, detection of crack, detection of fatigue, crack initiation, paper we report, array of piezoceramic, piezoceramic wafer, metallic specimens
Transport theory describes, machine Transport theory, Liouville machine Transport, Transport theory, optimal control theory, describes the scattering, transport equation, transport, theory describes, scattering behavior, Optimal control, control theory, physical particles, theory, Liouville machine
polytime computable state, compositional CTL model, computable state equivalence, present a polytime, computable state, defined with respect, CTL, CTL model checking, Formula-dependent equivalence, CTL formula, CTL model, state equivalence, Formula-dependent, equivalence, interacting FSM
small business owners, achieving high quality, owners, small business, high quality, information technology, key factor, factor in achieving, quality IT implementations, achieving high, previous studies, business, small, attitude, attitude impact
calibration samples, outlier detection, prediction, convex hull method, prediction sample, hull method, convex hull, method, techniques, outlier, uncertainty estimation, prediction outliers, detection in prediction, Mahalanobis distance, distance and X-residuals
inferring approximate solutions, incomplete knowledge based, inferring approximate, mechanism for inferring, similarity This paper, paper proposes, proposes an inference, problem-solving system, rule similarity, approximate solutions, obtain an approximate, system is incomplete, approximate, rule, incomplete
Post-projected Runge-Kutta methods, Runge-Kutta methods applied, differential-algebraic equations, output process, numerical approximation, standard projected methods, equations is presented, projection technique, methods applied, methods, equations, Runge-Kutta, differential-algebraic, approximation is projected, projected methods
