gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
cumulative distribution function, shrinking factor approximation, degrees of freedom, shrinking factor, distribution function, cumulative distribution, distribution, proposed for large, chi-square distribution, factor approximation, SFA, freedom, degrees, shrinking, factor
AMR Research found, Expert advice, organisation take advantage, existing supplier relationships, AMR Research, reverse auctions, jeopardising existing supplier, existing supplier, reverse, jeopardising existing, Research found, auctions, suppliers, Expert, advice
weighted factors analysis, factors analysis Weighted, analysis Weighted factors, factors analysis, analysis Weighted, WeFA, weighted factors, approach for elicitation, strategic level, high and strategic, influence, Binary WeFA, factors, graph, analysis
morphology Level set, Level set methods, mathematical morphology Level, Level set, morphology Level, mathematicians for constructing, arbitrary topology, mathematical morphology, surface evolutions based, Topology-adaptive modeling, Level, constructing a model, set methods, evolution approach based, surface
electronic reserves Electronic, reserves Electronic reserves, barely ten years, electronic reserves, reserves Electronic, profession of Librarianship, ten years, barely ten, library service, reserves has existed, history of electronic, electronic, reserves, history, service for barely
noticeable low representation, computer science conferences, under-representation of women, representation of women, numerous publications, lecture halls, survey The under-representation, received our attention, attention through numerous, noticeable low, low representation, science conferences, computer professionals, computer science, preliminary results
Car-caravan snaking, part, Active caravan braking, active braking system, Car-caravan, design, Active, Active caravan, active braking, suppress snaking vibrations, snaking, snaking vibrations, braking, caravan braking, suppress snaking
Cornell University Library, case analysis method, University Library Gateway, digital library management, library management system, Cornell University, case analysis, University Library, library management, emerging digital library, analysis method, discusses the design, implementation and evolution, digital library, paper discusses
Web, surveys, polls, content, content managers miss, Survey, polls and surveys, Web site, online world, content managers, managers miss, miss the fundamental, fundamental interactivity, Web-speak, online
large polychromatic stars, denote the largest, large polychromatic, polychromatic stars, largest number, vertex is incident, positive integer, number of colors, colors, positive, Edge-colorings, denote, large, polychromatic, stars
customer care Taking, CRM solutions banks, care Taking care, CRM solutions, care Taking, Taking care, recession fades, interest is picking, customer care, significant retooling, solutions banks, care of customers, rise and fall, fall and rise, Taking
augmented spatial digital, spatial digital tree, existing spatial digital, spatial digital tree-based, digital tree-based contact, spatial digital, contact detection approaches, tree-based contact detection, alternating digital tree, digital tree algorithm, digital tree, contact detection, augmented spatial, computational mechanics Based, ASDT algorithm adopts
feedback wave viewpoint, feedback wave control, wave viewpoint, longitudinal vibrations, noncollocated feedback wave, wave control strategies, feedback wave, viewpoint The analysis, control of longitudinal, analysis and control, viewpoint are synthesized, control, analysis, longitudinal, viewpoint
